,image,price,deal,title,shop,location
0,0,0,0,0,0,0
0,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i1/165110098/TB2OxkBnfImBKNjSZFlXXc43FXa_!!0-saturn_solar.jpg_360x360Q90.jpg_.webp,"¥
18.80",5,淘乐重庆特产麻辣500g包邮美味休闲小吃豆干散装零食多口味豆腐干,淘乐食品铺,重庆
0,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i2/44254182/TB2OvNQcNrI8KJjy0FpXXb5hVXa_!!0-saturn_solar.jpg_360x360Q90.jpg_.webp,"¥
25.90",438,祥禾饽饽铺人气传统麻酱酥 手工小吃饼干 超赞花生酥 芝麻酥500g,祥禾饽饽铺,天津
0,//g-search1.alicdn.com/img/bao/uploaded/i4/imgextra/i4/127719501/TB2NeQFEFOWBuNjy0FiXXXFxVXa_!!0-saturn_solar.jpg_360x360Q90.jpg_.webp,"¥
28.80",241,麻爪爪 辣子鸡零食袋装100*2香辣味重庆特产卤肉熟食即食小吃零食,麻爪爪旗舰店,重庆
0,//g-search2.alicdn.com/img/bao/uploaded/i4/i2/828000389/TB2Kildk9_I8KJjy0FoXXaFnVXa_!!828000389.jpg_360x360Q90.jpg_.webp,"¥
38.00",555,"正宗鲍师傅肉松小贝 海苔酥松小贝 肉松蛋糕鲍师傅糕点 南京
美食",沧澜流转,江苏 南京
0,//g-search1.alicdn.com/img/bao/uploaded/i4/i2/1668473661/TB2IBfAH7yWBuNjy0FpXXassXXa_!!1668473661-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
88.00",498,"宫御坊老北京特产京八件大礼包送礼团购礼盒
美食
小零食品糕点果脯",宫御坊旗舰店,北京
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/3078770661/TB2uw4VpByWBuNkSmFPXXXguVXa_!!3078770661-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
17.80",1112,"正宗黄山薄脆烧饼3袋39个 安徽梅干扣菜肉酥饼特产小吃
美食
糕点心",徽韵棠旗舰店,安徽 黄山
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/1668473661/TB1r1S7A49YBuNjy0FfXXXIsVXa_!!0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
22.80",2237,"宫御坊老北京特产大礼包京八件礼盒零食小吃
美食
驴打滚果脯龙须酥",宫御坊旗舰店,北京
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i2/2102198181/TB2MDSynEOWBKNjSZKzXXXfWFXa_!!2102198181-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
58.00",774,"正宗上海特产老城隍庙字号传统糕点心礼盒小吃零食大礼包送礼
美食",萃香集食品专营店,上海
0,//g-search2.alicdn.com/img/bao/uploaded/i4/i2/736064771/TB2kZU1g9MmBKNjSZTEXXasKpXa_!!736064771-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
76.80",1696,"夏季凉拌菜零食礼包五香酱牛肉黄牛肉卤牛肉百家兴
美食
熟食四大袋",佳旭食品专营店,安徽 宣城
0,//g-search1.alicdn.com/img/bao/uploaded/i4/i3/693104145/TB2EKDfqKuSBuNjSsziXXbq8pXa_!!693104145.jpg_360x360Q90.jpg_.webp,"¥
38.89",583,"芝麻大烤馕250g*5个真空装新疆清真
美食
糕点干粮小吃早餐点心囊饼",yuxiaoqian6,新疆 乌鲁木齐
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/1762440164/TB2DlwMcVmWBuNjSspdXXbugXXa_!!1762440164.jpg_360x360Q90.jpg_.webp,"¥
30.80",34,"爱乡亲肉松饼福建特产
美食
茶糕点心早餐零食小吃零食品1000g",爱乡亲工厂店,福建 泉州
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i3/3017400344/TB2npLmXcXIxuRkSRTgXXbWhXXa_!!3017400344-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
134.10",5245,"七夕送礼 好欢螺螺蛳粉柳州螺狮粉特产
美食
螺丝粉400g*10袋 包邮",好欢螺旗舰店,广西 柳州
0,//g-search2.alicdn.com/img/bao/uploaded/i4/i4/3282604381/TB2x9phnvImBKNjSZFlXXc43FXa_!!3282604381-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
155.00",79,"轩妈中秋零食大礼包1060g 蛋黄酥雪媚娘麻薯糕点
美食
点心早餐送礼",轩妈食品旗舰店,广西 南宁
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i1/3282604381/TB2pHETnnqWBKNjSZFAXXanSpXa_!!3282604381-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
29.00",10020,"轩妈家蛋黄酥20g*8枚/盒 红豆味迷你mini儿童蛋黄酥糕点点心
美食",轩妈食品旗舰店,广西 南宁
0,//g-search2.alicdn.com/img/bao/uploaded/i4/i4/2176985097/TB2iFDAFb1YBuNjSszeXXablFXa_!!2176985097-0-item_pic.jpg_360x360Q90.jpg_.webp,"¥
25.80",230,"南萃坊梅干菜酥饼25个800g糕点零食杭州特产小吃点心
美食
黄山烧饼",南萃坊旗舰店,浙江 杭州
0,//g-search3.alicdn.com/img/bao/uploaded/i4/i4/2520242287/TB2uJo8HHSYBuNjSspfXXcZCpXa_!!2520242287.jpg_360x360Q90.jpg_.webp,"¥
28.90",23,"子祺清真肉松饼20个散装 月饼 糕点点心办公室小吃
美食
零食包邮",海绵宝宝泰迪熊喜羊羊,陕西 西安
